job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title,decision,notes
188,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,Interested in joining our team?,general_application,general_application,auto_set_from_pred,
189,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,Interested in joining our team?,general_application,general_application,auto_set_from_pred,
1972,https://job-boards.greenhouse.io/capco/jobs/7577903,UI Designer (She/He/They),product_designer,product_designer,auto_set_from_pred,
1976,https://job-boards.greenhouse.io/capco/jobs/7578368,Workstation Configuration Specialist (She/He/They),other,,manual_review_needed,
377,https://job-boards.greenhouse.io/canonical/jobs/6177790,MAAS Data Center Infrastructure Engineer (Toronto area),analytics_engineer,analytics_engineer,auto_set_from_pred,
535,https://job-boards.greenhouse.io/canonical/jobs/7043026,UX Designer - Developer experience,product_designer,product_designer,auto_set_from_pred,
536,https://job-boards.greenhouse.io/canonical/jobs/6072086,UX Designer - Infrastructure,product_designer,product_designer,auto_set_from_pred,
1802,https://job-boards.greenhouse.io/capco/jobs/6870240,PM - Channels Contact Center Automation,other,,manual_review_needed,
1661,https://job-boards.greenhouse.io/capco/jobs/7391344,Desenvolvedor(a) Full Stack Senior | Inglês,other,,manual_review_needed,
1396,https://job-boards.greenhouse.io/appier/jobs/1510668,"Sales Manager(IC, Hunter), Ad Cloud",sales_representative,sales_representative,auto_set_from_pred,
1666,https://job-boards.greenhouse.io/capco/jobs/7578353,Device Management Process Owner (She/He/They),other,,manual_review_needed,
511,https://job-boards.greenhouse.io/canonical/jobs/3798310,Technical Author (multiple roles and seniority levels),other,,manual_review_needed,
414,https://job-boards.greenhouse.io/canonical/jobs/4536726,Python Engineer - Data Center Hardware Integration (Taipei),analytics_engineer,analytics_engineer,auto_set_from_pred,
1966,https://job-boards.greenhouse.io/capco/jobs/7615804,Tester AI QA (Polish is Mandatory) (She/He/They),other,,manual_review_needed,
1776,https://job-boards.greenhouse.io/capco/jobs/7362581,Managing Principal - Institutional Payments Lead,consultant,consultant,auto_set_from_pred,
1984,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7227500,Chicago Graduate Trader Programme 2026,other,,manual_review_needed,
1022,https://job-boards.greenhouse.io/webflow/jobs/7369238,Partner Development Representative (PDR),other,,manual_review_needed,
